Formål;SOSI-kode;Benevnelseskode;Kortform;Fargekode - Hex;Fargekode - RGB;Fargekode - CMYK
Landingsplass for helikopter o.a.;2034;LHE;;999999;;
Havn;2040;H;;99CCCC;;
Kai;2041;KAI;;99CCCC;;
Havneterminaler;2042;HT;;99CCCC;;
Havnelager;2043;HL;;99CCCC;;
Molo;2044;MO;;33BEBE;;
Navigasjonsinstallasjon;2045;NI;;33BEBE;;
Hovednett for sykkel;2050;HS;;FFCCCC;;
Kollektivnett;2060;KO;;CC9966;;
Trasé for nærmere angitt kollektivtransport;2061;AK;;CC9966;;
Kollektivknutepunkt;2070;KK;;CC9966;;
Kollektivanlegg;2071;KA;;CC9966;;
Kollektivterminal;2072;KOT;;CC9966;;
Kollektivholdeplass;2073;KH;;CC9966;;
Pendler-/innfartsparkering;2074;PI;;CC9966;;
Parkering;2080;P;;B9B9B9;;
Rasteplass;2081;RP;;B9B9B9;;
Parkeringsplasser;2082;PP;;B9B9B9;;
Parkeringshus/-anlegg;2083;PH;;B9B9B9;;
Teknisk infrastruktur;2101;;;CCB999;;
Energinett;2110;TIS;;FFCC99;;
Fjernvarmenett;2120;EN;;FFCC99;;
Vann- og avløpsnett;2140;FVN;;FFCC99;;
Vannforsyningsnett;2141;VAN;;FFCC99;;
Avløpsnett;2142;VFN;;FFCC99;;
Overvannsnett;2143;AVN;;FFCC99;;
Avfallssug;2150;OVN;;FFCC99;;
Telekommunikasjonsnett;2160;AVF;;FFCC99;;
Sikringsanlegg;2170;TKN;;DC9999;;
Andre teknisk infrastrukturtraseer;2180;SIA;;FFCC99;;
Kombinerte tekniske infrastrukturtraseer;2190;ATI;;FFCC99;;
Kombinerte formål for samferdselsanlegg og/eller tekniske infrastrukturtraseer;2800;KIT;;"CCCCCCFFFFFF";;
Angitte samferdselsanlegg og/eller tekniske infrastrukturtraseer kombinert med andre gitte hovedformål;2900;SK;;"CCCCCC
FFCC99";;
;;;;;;
3. Grønnstruktur;(3000);;;;;
Blå/grønnstruktur;3001;BG;;66FF99;;
Naturområde;3020;GN;;99FF99;;
Turdrag;3030;TD;;99FF99;;
Turveg;3031;TV;;99FF99;;
Friområde;3040;FRI;;99FF99;;
Badeplass/-område;3041;BAD;;99FF99;;
Park;3050;PA;;99FF99;;
Vegetasjonsskjerm;3060;VS;;99FF99;;
Vannspeil;3061;VSP;;CCFFFF;;
Overvannstiltak;3100;OVT;;33EBEB;;
Infiltrasjon/fordrøyning/avledning;3110;INF;;33EBEB;;
Kombinerte grønnstrukturformål;3800;KG;;"99FF99
FFFFFF";;
Angitt grønnstruktur kombinert med andre angitte hovedformål ;3900;GAA;;"66CC66
99FF99";;
;;;;;;
4. Forsvaret;(4000);;;;;
Forsvaret;4001;F;;CCCC99;;
Ulike typer militære formål;4010;FU;;CCCC99;;
Skytefelt/øvingsområde;4020;FS;;CCCC99;;
Forlegning/leir;4030;FF;;CCCC99;;
Kombinerte militærformål;4800;FK;;"CCCC99
FFFFFF";;
Angitt militært formål kombinert med andre angitte hovedformål;4900;FAA;;"CCCC99
CCFF99";;
;;;;;;
5. Landbruks-, natur og friluftsområder samt reindrift (LNFR);(5000);;;;;
LNFR-areal for nødvendige tiltak for landbruk og reindrift og gårdstilknyttet næringsvirksomhet basert på gårdens ressursgrunnlag;5100;LNFR;;CCFF99;;
Landbruksformål;5110;L;;CCFF99;;
Jordbruk;5111;J;;CCFF99;;
Skogbruk;5112;SKOG;;CCFF99;;
Seterområde;5113;SE;;33FF99;;
Gartneri;5114;GA;;33FF99;;
Pelsdyranlegg;5115;PD;;33FF99;;
Naturformål;5120;N;;99FF66;;
Friluftsformål;5130;FL;;99FF66;;
Reindriftsformål;5140;R;;99FF66;;
LNFR-areal for spredt bolig-, fritids- eller næringsbebyggelse mv.;5200;LS;;CCFFCC;;
Spredt boligbebyggelse;5210;LSB;;CCFFCC;;
Spredt fritidsbebyggelse;5220;LSF;;CCFFCC;;
Spredt næringsbebyggelse;5230;LSN;;CCFFCC;;
Naturvern;5300;NV;;00CC66;;
Jordvern;5400;JV;;00CC66;;
Særlige landskapshensyn;5500;LH;;00CC66;;
Vern av kulturminner og kulturmiljø;5600;KMV;;00CC66;;
LNFR-formål kombinert med andre angitte hovedformål;5900;LAA;;"CCFF99
FFFFFF";;
;;;;;;
6. Bruk og vern av sjø og vassdrag;(6000);;;;;
Bruk og vern av sjø og vassdrag med tilhørende strandsone;6001;BSV;;CCFFFF;;
Ferdsel;6100;FE;;33CCFF;;
Ankringsområde;6110;ANK;;33AFAF;;
Opplagsområde;6120;OP;;33AFAF;;
Riggområde;6130;RI;;33AFAF;;
Farled;6200;FA;;33CCFF;;
Hoved- og biled;6211;LED;;33CCFF;;
Havneområde i sjø;6220;HOS;;33CCCC;;
Småbåthavn;6230;SH;;33CCCC;;
Bøyehavn;6240;BØH;;33CCFF;;
Fiske;6300;FI;;6699FF;;
Fiskeområde;6310;FIO;;9966FF;;
Låssettingsplasser;6320;LÅS;;6699FF;;
Gytefelt eller oppvekstområde for yngel;6330;GYO;;6699FF;;
Akvakultur;6400;AKV;;FFCCFF;;
Akvakulturanlegg i sjø og vassdrag;6410;ASV;;FFCCFF;;
Akvakulturanlegg i sjø og vassdrag med tilhørende landanlegg;6420;ASVL;;FFCCFF;;
Fangstbasert levendelagring;6430;FAL;;CC99FF;;
Drikkevann;6500;DV;;3399FF;;
Naturområde;6600;NO;;99FFFF;;
Naturområde i sjø og vassdrag;6610;NSV;;99FFFF;;
Naturområde i sjø og vassdrag med tilhørende strandsone;6620;NSVS;;99FFFF;;
Friluftsområde;6700;FV;;99FFFF;;
Friluftsområde i sjø og vassdrag;6710;FLV;;99FFFF;;
Friluftsområde i sjø og vassdrag med tilhørende strandsone;6720;FLVS;;99FFFF;;
Idrett og vannsport;6760;IV;;66CCCC;;
Badeområde;6770;VBAD;;66FFFF;;
Kombinerte formål i sjø og vassdrag med eller uten tilhørende strandsone;6800;VK;;"CCFFFF
FFFFFF";;
Angitt formål i sjø og vassdrag med eller uten tilhørende strandsone kombinert med andre angitte hovedformål;6900;VAA;;"CCFFFF
66FFFF";;
